회사명,상장일,regime
바이오노트,2022-12,1
쏘카,2022-08,1
수산인더스트리,2022-08,1
LG에너지솔루션,2022-01,1
카카오페이,2021-11,0
케이카,2021-10,0
현대중공업,2021-09,0
일진하이솔루스,2021-09,0
아주스틸,2021-08,0
롯데렌탈,2021-08,0
한컴라이프케어,2021-08,0
크래프톤,2021-08,0
에스디바이오센서,2021-07,0
SK아이이테크놀로지,2021-05,0
SK바이오사이언스,2021-03,0
솔루엠,2021-02,0
명신산업,2020-12,0
에이플러스에셋,2020-11,0
교촌에프앤비,2020-11,0
빅히트,2020-10,0
에스케이바이오팜,2020-07,0
센트랄모텍,2019-11,0
현대에너지솔루션,2019-11,0
한화시스템,2019-11,0
자이에스앤디,2019-11,0
지누스,2019-10,0
현대오토에버,2019-03,0
드림텍,2019-03,0
에어부산,2018-12,1
아시아나IDT,2018-11,1
하나제약,2018-10,1
우진아이엔에스,2018-09,1
티웨이항공,2018-08,1
롯데정보통신,2018-07,1
애경산업,2018-03,1
동양피스톤,2017-12,1
진에어,2017-12,1
삼양패키징,2017-11,1
테이팩스,2017-10,1
넷마블게임즈,2017-05,1
덴티움,2017-03,1
호전실업,2017-02,1
핸즈코퍼레이션,2016-12,1
두산밥캣,2016-11,0
삼성바이오로직스,2016-11,0
JW생명과학,2016-10,0
화승엔터프라이즈,2016-10,0
엘에스전선 아시아,2016-09,0
두올,2016-07,0
해성디에스,2016-06,0
용평리조트,2016-05,0
해태제과식품,2016-05,0
대림씨엔에스,2016-03,0
제이에스코퍼레이션,2016-02,0
코리아오토글라스,2015-12,0
잇츠스킨,2015-12,0
세진중공업,2015-11,0
금호에이치티,2015-11,0
제주항공,2015-11,0
LIG넥스원,2015-10,0
동일제강,2015-09,0
아이콘트롤스,2015-09,0
AJ네트웍스,2015-08,0
이노션,2015-07,0
토니모리,2015-07,0
경보제약,2015-06,0
에스케이디앤디,2015-06,0
엔에스쇼핑,2015-03,0
세화아이엠씨,2015-03,0
큐라티스,2023-06,1
마녀공장,2023-06,1
나라셀라,2023-06,1
진영,2023-06,1
기가비스,2023-05,1
씨유박스,2023-05,1
모니터랩,2023-05,1
트루엔,2023-05,1
에스바이오메딕스,2023-05,1
마이크로투나노,2023-04,1
지아이이노베이션,2023-03,1
LB인베스트먼트,2023-03,1
금양그린파워,2023-03,1
자람테크놀로지,2023-03,1
나노팀,2023-03,1
바이오인프라,2023-03,1
제이오,2023-02,1
샌즈랩,2023-02,1
꿈비,2023-02,1
스튜디오미르,2023-02,1
삼기이브이,2023-02,1
오브젠,2023-01,1
미래반도체,2023-01,1
한주라이트메탈,2023-01,1
티이엠씨,2023-01,1
SAMG엔터,2022-12,1
펨트론,2022-11,1
인벤티지랩,2022-11,1
엔젯,2022-11,1
티쓰리,2022-11,1
티에프이,2022-11,1
윤성에프앤씨,2022-11,1
디티앤씨알오,2022-11,1
뉴로메카,2022-11,1
제이아이테크,2022-11,1
큐알티,2022-11,1
저스템,2022-10,1
산돌,2022-10,1
플라즈맵,2022-10,1
핀텔,2022-10,1
샤페론,2022-10,1
탑머티리얼,2022-10,1
에스비비테크,2022-10,1
오에스피,2022-10,1
이노룰스,2022-10,1
모델솔루션,2022-10,1
더블유씨피,2022-09,1
알피바이오,2022-09,1
오픈엣지테크놀로지,2022-09,1
대성하이텍,2022-08,1
에이치와이티씨,2022-08,1
새빗켐,2022-08,1
아이씨에이치,2022-07,1
성일하이텍,2022-07,1
에이프릴바이오,2022-07,1
루닛,2022-07,1
HPSP,2022-07,1
영창케미칼,2022-07,1
코난테크놀로지,2022-07,1
넥스트칩,2022-07,1
보로노이,2022-06,1
레이저쎌,2022-06,1
위니아에이드,2022-06,1
범한퓨얼셀,2022-06,1
청담글로벌,2022-06,1
가온칩스,2022-05,1
대명에너지,2022-05,1
포바이포,2022-04,1
지투파워,2022-04,1
세아메카닉스,2022-03,1
공구우먼,2022-03,1
유일로보틱스,2022-03,1
모아데이타,2022-03,1
비씨엔씨,2022-03,1
노을,2022-03,1
풍원정밀,2022-02,1
스톤브릿지벤처스,2022-02,1
브이씨,2022-02,1
퓨런티어,2022-02,1
바이오에프디엔씨,2022-02,1
나래나노텍,2022-02,1
아셈스,2022-02,1
스코넥,2022-02,1
이지트로닉스,2022-02,1
케이옥션,2022-01,1
오토앤,2022-01,1
케이티비네트워크,2021-12,1
마인즈랩,2021-11,0
알비더블유,2021-11,0
트윔,2021-11,0
지오엘리먼트,2021-11,0
아이티아이즈,2021-11,0
비트나인,2021-11,0
디어유,2021-11,0
지니너스,2021-11,0
피코그램,2021-11,0
엔켐,2021-11,0
리파인,2021-10,0
지앤비에스엔지니어링,2021-10,0
아이패밀리에스씨,2021-10,0
차백신연구소,2021-10,0
지아이텍,2021-10,0
씨유테크,2021-10,0
아스플로,2021-10,0
원준,2021-10,0
실리콘투,2021-09,0
프롬바이오,2021-09,0
바이오플러스,2021-09,0
와이엠텍,2021-09,0
바이젠셀,2021-08,0
브레인즈컴퍼니,2021-08,0
딥노이드,2021-08,0
플래티어,2021-08,0
원티드랩,2021-08,0
HK이노엔,2021-08,0
맥스트,2021-07,0
큐라클,2021-07,0
오비고,2021-07,0
아모센스,2021-06,0
이노뎁,2021-06,0
엘비루셈,2021-06,0
에이디엠코리아,2021-06,0
제주맥주,2021-05,0
진시스템,2021-05,0
삼영에스앤씨,2021-05,0
샘씨엔에스,2021-05,0
씨앤씨인터내셔널,2021-05,0
에이치피오,2021-05,0
쿠콘,2021-04,0
해성티피씨,2021-04,0
이삭엔지니어링,2021-04,0
엔시스,2021-04,0
자이언트스텝,2021-03,0
제노코,2021-03,0
라이프시맨틱스,2021-03,0
바이오다인,2021-03,0
프레스티지바이오로직스,2021-03,0
싸이버원,2021-03,0
나노씨엠에스,2021-03,0
뷰노,2021-02,0
유일에너테크,2021-02,0
오로스테크놀로지,2021-02,0
아이퀘스트,2021-02,0
레인보우로보틱스,2021-02,0
와이더플래닛,2021-02,0
핑거,2021-01,0
모비릭스,2021-01,0
씨앤투스성진,2021-01,0
선진뷰티사이언스,2021-01,0
엔비티,2021-01,0
석경에이티,2020-12,0
프리시젼바이오,2020-12,0
알체라,2020-12,0
티엘비,2020-12,0
인바이오,2020-12,0
엔젠바이오,2020-12,0
퀀타매트릭스,2020-12,0
클리노믹스,2020-12,0
포인트모바일,2020-12,0
앱코,2020-12,0
엔에프씨,2020-12,0
제일전기공업,2020-11,0
하나기술,2020-11,0
티앤엘,2020-11,0
고바이오랩,2020-11,0
네패스아크,2020-11,0
소룩스,2020-11,0
위드텍,2020-10,0
센코,2020-10,0
바이브컴퍼니,2020-10,0
피플바이오,2020-10,0
넥스틴,2020-10,0
원방테크,2020-09,0
박셀바이오,2020-09,0
비비씨,2020-09,0
핌스,2020-09,0
압타머사이언스,2020-09,0
이오플로우,2020-09,0
카카오게임즈,2020-09,0
피엔케이,2020-09,0
아이디피,2020-08,0
셀레믹스,2020-08,0
브랜드엑스코퍼레이션,2020-08,0
영림원소프트랩,2020-08,0
한국파마,2020-08,0
이루다,2020-08,0
와이팜,2020-07,0
엠투아이,2020-07,0
더네이쳐홀딩스,2020-07,0
솔트룩스,2020-07,0
에이프로,2020-07,0
신도기연,2020-07,0
위더스제약,2020-07,0
마크로밀엠브레인,2020-07,0
엘이티,2020-06,0
에스씨엠생명과학,2020-06,0
드림씨아이에스,2020-05,0
엔피디,2020-03,0
플레이디,2020-03,0
서울바이오시스,2020-03,0
제이앤티씨,2020-03,0
켄코아에어로스페이스,2020-03,0
레몬,2020-02,0
서남,2020-02,0
피피아이,2019-12,0
천랩,2019-12,0
메탈라이프,2019-12,0
브릿지바이오,2019-12,0
메드팩토,2019-12,0
신테카바이오,2019-12,0
제이엘케이인스펙션,2019-12,0
태웅로직스,2019-12,0
코리아센터,2019-11,0
노터스,2019-11,0
티움바이오,2019-11,0
씨에스베어링,2019-11,0
우양,2019-11,0
에스제이그룹,2019-11,0
제테마,2019-11,0
라파스,2019-11,0
아이티엠반도체,2019-11,0
티라유텍,2019-10,0
캐리소프트,2019-10,0
케이엔제이,2019-10,0
엔바이오니아,2019-10,0
팜스빌,2019-10,0
라온피플,2019-10,0
아톤,2019-10,0
녹십자웰빙,2019-10,0
올리패스,2019-09,0
라닉스,2019-09,0
한독크린텍,2019-09,0
네오크레마,2019-08,0
마니커에프앤지,2019-08,0
나노브릭,2019-08,0
에스피시스템스,2019-08,0
레이,2019-08,0
코윈테크,2019-08,0
덕산테코피아,2019-08,0
슈프리마아이디,2019-08,0
한국바이오젠,2019-08,0
세경하이테크,2019-07,0
윌링스,2019-07,0
대모,2019-07,0
에이스토리,2019-07,0
플리토,2019-07,0
세틀뱅크,2019-07,0
아이스크림에듀,2019-07,0
펌텍코리아,2019-07,0
에이에프더블류,2019-07,0
압타바이오,2019-06,0
까스텔바쟉,2019-06,0
마이크로디지탈,2019-06,0
컴퍼니케이,2019-05,0
아모그린텍,2019-03,0
이지케어텍,2019-03,0
에코프로비엠,2019-03,0
셀리드,2019-02,0
천보,2019-02,0
이노테라피,2019-02,0
노랑풍선,2019-01,0
웹케시,2019-01,0
비피도,2018-12,1
유틸렉스,2018-12,1
디케이티,2018-12,1
위지윅스튜디오,2018-12,1
에이비엘바이오,2018-12,1
머큐리,2018-12,1
전진바이오팜,2018-12,1
뉴트리,2018-12,1
이노메트리,2018-12,1
골든브릿지이안5호,2018-12,1
대유에이피,2018-12,1
에코캡,2018-12,1
베스파,2018-12,1
남화산업,2018-11,1
티로보틱스,2018-11,1
엠아이텍,2018-11,1
티앤알바이오팹,2018-11,1
네오펙트,2018-11,1
싸이토젠,2018-11,1
디알젬,2018-11,1
파멥신,2018-11,1
디케이앤디,2018-11,1
디자인,2018-11,1
노바렉스,2018-11,1
셀리버리,2018-11,1
대보마그네틱,2018-11,1
노바텍,2018-11,1
엘앤씨바이오,2018-11,1
로보티즈,2018-10,1
옵티팜,2018-10,1
에스퓨얼셀,2018-10,1
푸드나무,2018-10,1
크리스에프앤씨,2018-10,1
명성티엔에스,2018-09,1
액트로,2018-08,1
에이피티씨,2018-08,1
바이오솔루션,2018-08,1
대유,2018-08,1
디아이티,2018-08,1
에스에스알,2018-08,1
휴네시온,2018-08,1
한국유니온제약,2018-07,1
엠코르셋,2018-07,1
올릭스,2018-07,1
아이큐어,2018-07,1
SV인베스트먼트,2018-07,1
EDGC,2018-06,1
파워넷,2018-06,1
현대사료,2018-06,1
세종메디칼,2018-05,1
제노레이,2018-05,1
케어랩스,2018-03,1
에코마이스터,2018-03,1
린드먼아시아,2018-03,1
동구바이오제약,2018-02,1
알리코제약,2018-02,1
카페24,2018-02,1
배럴,2018-02,1
SG,2018-01,1
씨앤지하이테크,2018-01,1
시스웍,2017-12,1
디바이스이엔지,2017-12,1
씨티케이코스메틱스,2017-12,1
메카로,2017-12,1
에스트래픽,2017-12,1
체리부로,2017-12,1
대원,2017-12,1
비즈니스온,2017-11,1
스튜디오드래곤,2017-11,1
영화테크,2017-10,1
상신전자,2017-10,1
야스,2017-09,1
에스엔피월드,2017-09,1
유티아이,2017-09,1
신흥에스이씨,2017-09,1
선익시스템,2017-09,1
엠플러스,2017-09,1
앱클론,2017-09,1
샘코,2017-09,1
펄어비스,2017-09,1
덕우전자,2017-08,1
이더블유케이,2017-08,1
알에스오토메이션,2017-08,1
컬러레이,2017-08,1
모트렉스,2017-08,1
데이타솔루션,2017-08,1
지니언스,2017-08,1
디앤씨미디어,2017-08,1
셀트리온헬스케어,2017-07,1
이즈미디어,2017-07,1
힘스,2017-07,1
브이원텍,2017-07,1
아우딘퓨쳐스,2017-07,1
제일홀딩스,2017-06,1
보라티알,2017-06,1
삼양옵틱스,2017-06,1
필옵틱스,2017-06,1
하나머티리얼즈,2017-04,1
와이엠티,2017-04,1
서진시스템,2017-03,1
코미코,2017-03,1
아스타,2017-03,1
에스디생명공학,2017-03,1
신신제약,2017-02,1
에프엔에스테크,2017-02,1
모바일어플라이언스,2017-02,1
피씨엘,2017-02,1
서플러스글로벌,2017-01,1
유바이오로직스,2017-01,1
퓨전데이타,2016-12,1
DSC인베스트먼트,2016-12,1
티에스인베스트먼트,2016-12,1
마이크로프랜드,2016-12,1
애니젠,2016-12,1
신라젠,2016-12,1
오션브릿지,2016-12,1
뉴파워프라즈마,2016-11,0
에이치엔티,2016-11,0
클리오,2016-11,0
오가닉티코스메틱,2016-11,0
로고스바이오,2016-11,0
인크로스,2016-10,0
에이치엘사이언스,2016-10,0
코스메카코리아,2016-10,0
GRT,2016-10,0
골든센츄리,2016-10,0
인텔리안테크,2016-10,0
에이치시티,2016-10,0
앤디포스,2016-10,0
수산아이앤티,2016-10,0
미투온,2016-10,0
유니테크노,2016-09,0
자이글,2016-09,0
헝셩그룹,2016-08,0
에코마케팅,2016-08,0
팍스넷,2016-08,0
엔지스테크널러지,2016-07,0
우리손에프앤지,2016-07,0
장원테크,2016-07,0
대유위니아,2016-07,0
피앤씨테크,2016-07,0
로스웰,2016-06,0
녹십자랩셀,2016-06,0
에스티팜,2016-06,0
레이언스,2016-04,0
씨엠에스에듀,2016-04,0
동양파일,2016-04,0
팬젠,2016-03,0
AP위성통신,2016-03,0
큐리언트,2016-02,0
안트로젠,2016-02,0
아이엠텍,2016-02,0
유니트론텍,2016-02,0
크리스탈신소재,2016-01,0
한솔씨앤피,2016-01,0
에스와이패널,2015-12,0
휴젤,2015-12,0
육일씨엔에쓰,2015-12,0
이에스브이,2015-12,0
한국맥널티,2015-12,0
아진산업,2015-12,0
덱스터,2015-12,0
씨트리,2015-12,0
강스템바이오텍,2015-12,0
메가엠디,2015-12,0
파크시스템스,2015-12,0
보광산업,2015-12,0
뉴트리바이오텍,2015-12,0
멕아이씨에스,2015-12,0
미래테크놀로지,2015-12,0
하이즈항공,2015-11,0
케이디켐,2015-11,0
네오오토,2015-11,0
케어젠,2015-11,0
유앤아이,2015-11,0
나무가,2015-11,0
더블유게임즈,2015-11,0
연우,2015-11,0
에이티젠,2015-10,0
에치디프로,2015-10,0
제너셈,2015-09,0
타이거일렉,2015-09,0
인포마크,2015-09,0
웹스,2015-08,0
파인텍,2015-08,0
흥국에프엔비,2015-08,0
아시아경제,2015-07,0
아이쓰리시스템,2015-07,0
로지시스,2015-07,0
파마리서치프로덕트,2015-07,0
펩트론,2015-07,0
동운아나텍,2015-06,0
유테크,2015-06,0
민앤지,2015-06,0
에스엔텍,2015-06,0
코아스템,2015-06,0
세미콘라이트,2015-06,0
싸이맥스,2015-06,0
픽셀플러스,2015-06,0
제노포커스,2015-05,0
유지인트,2015-04,0
포시에스,2015-02,0
