"시점",선행종합지수(2020=100),선행종합지수(2020=100),선행종합지수(2020=100),선행종합지수 전월비(%),선행종합지수 전월비(%),선행종합지수 전월비(%),재고순환지표(전월차)(%p),재고순환지표(전월차)(%p),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),경제심리지수(전월차)(p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),기계류내수출하지수(선박제외)(전월비)(%),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),건설수주액(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),수출입물가비율(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),코스피(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),장단기금리차(전월차)(%p),장단기금리차(전월차)(%p),선행지수 순환변동치,선행지수 순환변동치,선행지수 순환변동치,〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),선행지수 전년동월비(%),선행지수 전년동월비(%),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),〔전년동월비 전월차〕(%p),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수(2020=100),동행종합지수(2020=100),동행종합지수 전월비(%),동행종합지수 전월비(%),동행종합지수 전월비(%),광공업생산지수(전월비)(%),광공업생산지수(전월비)(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),건설기성액(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),소매판매액지수(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),내수출하지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),수입액(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),비농림어업취업자수(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,동행지수 순환변동치,동행지수 순환변동치,〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수(2020=100),후행종합지수(2020=100),후행종합지수 전월비(%),후행종합지수 전월비(%),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),생산자제품재고지수(전월비)(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비자물가지수변화율(서비스)(전월차)(%p),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),소비재수입액(전월비)(%),소비재수입액(전월비)(%),취업자수(전월비)(%),취업자수(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),CP유통수익률(전월차)(%p),CP유통수익률(전월차)(%p)
"시점",원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률
"2015.01",82.4,3.3,4.2,0.6,0.2,50.0,1.7,-0.1,-5.6,0.7,-0.2,-22.2,-1.3,0.5,27.8,12.0,12.2,6100.0,2.8,2.9,2900.0,-0.4,1.0,71.4,-0.06,-0.10,-200.0,100.1,0.3,0.3,0.3,0.4,400.0,4.2,-0.1,-2.3,0.3,,,87.2,2.3,2.7,0.3,-0.2,-40.0,0.3,0.0,0.0,-0.1,-0.6,-120.0,1.0,2.0,200.0,0.7,-0.6,-46.2,0.0,0.1,100.0,0.8,-0.2,-20.0,0.2,-0.1,-33.3,99.5,-0.9,-0.9,0.0,-0.2,-100.0,85.2,2.7,3.3,0.2,0.0,0.0,-0.7,-1.1,-275.0,0.0,,,1.0,3.1,147.6,0.1,-0.2,-66.7,0.0,,
"2015.02",82.7,3.4,4.3,0.4,0.1,33.3,-0.8,-2.1,-161.5,1.8,0.3,20.0,-1.2,-1.1,-1100.0,4.1,1.3,46.4,1.6,1.8,900.0,0.0,1.2,100.0,-0.07,-0.10,-250.0,100.2,0.4,0.4,0.1,,,4.3,0.0,0.0,0.1,,,87.8,2.6,3.1,0.7,0.3,75.0,0.6,0.1,20.0,0.2,-0.4,-66.7,2.0,4.0,200.0,1.4,,,0.6,,,0.4,0.0,0.0,0.2,-0.1,-33.3,99.8,-0.6,-0.6,0.3,,,85.5,2.8,3.4,0.4,0.2,100.0,0.1,0.3,150.0,0.0,0.1,100.0,3.0,1.2,66.7,0.1,-0.2,-66.7,0.0,,
"2015.03",83.2,3.7,4.7,0.6,0.3,100.0,-2.0,-2.3,-766.7,1.6,0.6,60.0,0.8,1.1,366.7,23.1,32.9,335.7,0.9,0.8,800.0,1.2,1.8,300.0,-0.07,0.00,-75.0,100.4,0.7,0.7,0.2,0.3,300.0,4.5,0.3,7.1,0.2,0.3,300.0,87.8,2.3,2.7,0.0,-0.4,-100.0,-0.5,-0.7,-350.0,0.9,0.0,0.0,-0.4,0.6,60.0,-0.5,-0.6,-600.0,-0.9,-0.5,-125.0,-0.2,-1.7,-113.3,0.1,-0.2,-66.7,99.4,-1.2,-1.2,-0.4,-0.6,-300.0,85.7,2.7,3.3,0.2,-0.2,-50.0,0.5,1.1,183.3,0.0,-0.1,-100.0,1.4,-0.9,-39.1,0.1,-0.2,-66.7,-0.1,,
"2015.04",83.5,3.7,4.6,0.4,0.0,0.0,-0.7,0.4,36.4,1.7,1.0,142.9,1.7,1.4,466.7,-2.7,-8.6,-145.8,-0.1,0.0,0.0,3.2,2.5,357.1,-0.01,0.00,66.7,100.5,0.9,0.9,0.1,0.2,200.0,4.6,0.5,12.2,0.1,0.2,200.0,88.0,2.4,2.8,0.2,0.1,100.0,0.4,0.2,100.0,0.4,0.5,500.0,-1.1,-1.9,-237.5,0.8,2.1,161.5,0.7,1.1,275.0,-1.5,-2.7,-225.0,0.0,-0.2,-100.0,99.3,-1.1,-1.1,-0.1,0.1,50.0,85.9,2.5,3.0,0.2,-0.3,-60.0,1.4,0.7,100.0,0.0,-0.1,-100.0,-0.3,-4.0,-108.1,0.0,-0.2,-100.0,-0.1,,
"2015.05",84.0,4.1,5.1,0.6,0.5,500.0,-0.2,1.3,86.7,-0.3,0.4,57.1,-1.2,-0.7,-140.0,19.3,24.5,471.2,0.3,,,2.5,1.5,150.0,0.08,0.10,366.7,100.6,1.1,1.1,0.1,0.2,200.0,4.8,0.8,20.0,0.2,0.3,300.0,87.8,2.2,2.6,-0.2,,,-0.9,-0.2,-28.6,0.0,0.1,100.0,-1.0,-1.4,-350.0,-0.3,-0.5,-250.0,-0.6,-0.4,-200.0,-0.8,0.0,0.0,0.0,0.1,100.0,98.8,-1.3,-1.3,-0.5,-0.2,-66.7,86.0,2.4,2.9,0.1,-0.1,-50.0,0.8,0.6,300.0,0.0,-0.2,-100.0,-1.7,0.1,5.6,-0.1,0.0,0.0,-0.1,,
"2015.06",84.2,4.1,5.1,0.2,-0.1,-33.3,-1.4,-0.2,-16.7,-3.2,-2.0,-166.7,0.2,0.3,300.0,-3.2,-15.9,-125.2,0.4,0.5,500.0,0.8,0.1,14.3,0.11,0.20,257.1,100.5,1.0,1.0,-0.1,,,4.7,0.8,20.5,-0.1,0.0,0.0,88.0,2.2,2.6,0.2,0.0,0.0,0.0,0.2,100.0,-0.1,-0.3,-150.0,2.3,1.2,109.1,-0.6,-0.8,-400.0,0.7,0.4,133.3,-0.4,-0.1,-33.3,0.1,,,98.7,-1.3,-1.3,-0.1,0.0,0.0,86.2,2.4,2.9,0.2,0.0,0.0,1.5,1.6,1600.0,0.0,,,-0.4,0.5,55.6,0.0,-0.1,-100.0,-0.1,,
"2015.07",84.4,4.1,5.1,0.2,0.0,0.0,-1.2,-1.9,-271.4,-2.7,-0.4,-17.4,-0.8,-1.2,-300.0,-1.2,0.4,25.0,0.4,0.1,33.3,-0.8,-1.3,-260.0,0.15,0.30,215.4,100.3,0.9,0.9,-0.2,-0.1,-100.0,4.6,0.9,24.3,-0.1,0.1,50.0,88.3,2.3,2.7,0.3,0.1,50.0,-0.5,-0.4,-400.0,0.2,-0.4,-66.7,1.5,2.9,207.1,-0.5,-1.4,-155.6,0.1,-0.3,-75.0,1.4,1.6,800.0,0.2,0.1,100.0,98.6,-1.4,-1.4,-0.1,,,86.5,2.5,3.0,0.3,0.1,50.0,1.0,,,0.1,,,0.3,0.0,0.0,0.1,,,-0.1,,
"2015.08",84.7,4.1,5.1,0.4,0.0,0.0,-0.7,,,-1.6,-0.6,-60.0,3.3,3.5,1750.0,-4.4,-22.1,-124.9,0.9,0.4,80.0,-2.6,-3.7,-336.4,0.03,0.10,160.0,100.3,0.8,0.8,0.0,-0.1,-100.0,4.6,0.9,24.3,0.0,,,88.9,2.6,3.0,0.7,0.4,133.3,1.1,1.3,650.0,0.5,-0.1,-16.7,1.5,2.2,314.3,-0.2,-0.8,-133.3,2.0,2.2,1100.0,1.6,1.8,900.0,0.2,-0.2,-50.0,99.1,-1.0,-1.0,0.5,0.4,400.0,86.9,2.6,3.1,0.5,0.1,25.0,1.5,1.6,1600.0,0.1,,,2.3,-0.2,-8.0,0.1,-0.2,-66.7,-0.1,0.0,0.0
"2015.09",85.1,4.1,5.1,0.5,0.0,0.0,1.5,0.6,66.7,1.8,0.7,63.6,0.7,0.8,800.0,25.0,25.9,2877.8,0.7,-0.3,-30.0,-2.0,-2.8,-350.0,-0.03,0.00,-50.0,100.4,0.8,0.8,0.1,0.0,0.0,4.8,1.0,26.3,0.2,0.1,100.0,89.7,3.3,3.8,0.9,0.8,800.0,1.0,2.1,190.9,0.5,0.4,400.0,3.8,4.6,575.0,1.4,1.6,800.0,1.3,2.3,230.0,1.2,-0.9,-42.9,0.2,0.0,0.0,99.7,-0.1,-0.1,0.6,0.9,300.0,87.2,2.6,3.1,0.3,-0.1,-25.0,0.4,0.2,100.0,0.1,,,0.2,-3.2,-94.1,0.2,0.0,0.0,0.0,0.1,100.0
"2015.10",85.4,4.1,5.0,0.4,0.0,0.0,2.0,2.5,500.0,0.6,0.5,500.0,0.5,0.4,400.0,0.8,-2.6,-76.5,0.0,-1.3,-100.0,-0.6,0.7,53.8,-0.09,-0.10,-400.0,100.4,0.7,0.7,0.0,-0.1,-100.0,4.7,0.9,23.7,-0.1,,,90.4,4.1,4.8,0.8,0.9,900.0,1.0,2.5,166.7,0.3,-0.1,-25.0,1.2,1.6,400.0,1.6,2.2,366.7,0.8,2.0,166.7,1.0,0.2,25.0,0.2,0.1,100.0,100.2,0.8,0.8,0.5,0.9,225.0,87.5,2.8,3.3,0.3,0.2,200.0,0.1,,,0.0,,,2.0,1.3,185.7,0.1,0.0,0.0,0.0,0.1,100.0
"2015.11",85.6,4.0,4.9,0.2,-0.2,-50.0,0.3,-1.8,-85.7,-0.1,0.1,50.0,-1.9,-3.7,-205.6,3.7,21.6,120.7,-0.1,-1.7,-106.3,0.9,2.6,152.9,0.00,0.00,100.0,100.2,0.4,0.4,-0.2,-0.3,-300.0,4.6,0.8,21.1,-0.1,,,90.5,4.1,4.7,0.1,0.0,0.0,-0.2,,,0.0,-0.1,-100.0,0.0,0.8,100.0,0.9,1.5,250.0,-0.5,,,-0.4,-1.6,-133.3,0.2,,,100.0,0.8,0.8,-0.2,0.0,0.0,87.6,2.7,3.2,0.1,-0.1,-50.0,-0.6,-0.8,-400.0,0.0,,,-1.9,-2.1,-1050.0,0.1,,,0.0,0.1,100.0
"2015.12",85.6,3.7,4.5,0.0,-0.4,-100.0,-1.2,-3.3,-157.1,-1.0,0.5,33.3,-2.1,-1.1,-110.0,-27.7,-26.4,-2030.8,0.4,-1.8,-81.8,0.5,2.2,129.4,0.02,0.00,200.0,99.8,0.0,0.0,-0.4,,,4.1,0.2,5.1,-0.5,-0.6,-600.0,90.6,3.7,4.3,0.1,-0.5,-83.3,-0.8,-1.8,-180.0,0.5,0.6,600.0,-0.5,,,0.8,-0.6,-42.9,-0.3,-1.0,-142.9,-0.8,-3.4,-130.8,0.2,0.1,100.0,99.9,0.4,0.4,-0.1,-0.4,-133.3,87.9,2.9,3.4,0.3,0.2,200.0,-0.7,-0.1,-16.7,0.1,,,1.9,3.4,226.7,0.2,,,0.1,,
"2016.01",85.7,3.3,4.0,0.1,-0.5,-83.3,-3.0,-4.7,-276.5,-1.2,-1.9,-271.4,-3.7,-2.4,-184.6,1.5,-10.5,-87.5,1.2,-1.6,-57.1,-2.1,-1.7,-425.0,-0.01,0.10,83.3,99.5,-0.6,-0.6,-0.3,-0.6,-200.0,3.8,-0.4,-9.5,-0.3,-0.6,-200.0,90.6,3.4,3.9,0.0,-0.3,-100.0,-0.5,-0.8,-266.7,-0.1,0.0,0.0,0.6,-0.4,-40.0,0.0,-0.7,-100.0,-0.6,,,-1.6,-2.4,-300.0,0.1,-0.1,-50.0,99.6,0.1,0.1,-0.3,,,88.2,3.0,3.5,0.3,0.1,50.0,0.6,1.3,185.7,0.1,,,0.1,-0.9,-90.0,0.1,0.0,0.0,0.0,,
"2016.02",85.7,3.0,3.6,0.0,-0.4,-100.0,-1.8,-1.0,-125.0,-1.4,-3.2,-177.8,-3.0,-1.8,-150.0,1.8,-2.3,-56.1,0.7,-0.9,-56.3,-1.8,,,-0.12,-0.10,-71.4,99.1,-1.1,-1.1,-0.4,-0.5,-500.0,3.4,-0.9,-20.9,-0.4,-0.5,-500.0,90.7,2.9,3.3,0.1,-0.6,-85.7,0.1,-0.5,-83.3,0.3,0.1,50.0,2.2,0.2,10.0,0.0,-1.4,-100.0,-0.5,-1.1,-183.3,-0.4,-0.8,-200.0,0.0,-0.2,-100.0,99.5,-0.3,-0.3,-0.1,-0.4,-133.3,88.5,3.0,3.5,0.3,-0.1,-25.0,1.2,1.1,1100.0,0.1,,,0.6,-2.4,-80.0,0.0,-0.1,-100.0,0.0,,
"2016.03",86.0,2.8,3.4,0.4,-0.2,-33.3,0.3,2.3,115.0,0.1,-1.5,-93.8,1.2,0.4,50.0,12.3,-10.8,-46.8,0.0,-0.9,-100.0,0.1,-1.1,-91.7,-0.10,0.00,-42.9,99.2,-1.2,-1.2,0.1,-0.1,-50.0,3.3,-1.2,-26.7,-0.1,-0.3,-150.0,90.8,3.0,3.4,0.1,,,0.7,1.2,240.0,-0.1,-1.0,-111.1,0.4,0.8,200.0,0.1,0.6,120.0,0.1,1.0,111.1,-0.8,-0.6,-300.0,-0.2,-0.3,-300.0,99.3,-0.1,-0.1,-0.2,0.2,50.0,88.7,3.0,3.5,0.2,0.0,0.0,1.5,1.0,200.0,0.1,,,-1.6,-3.0,-214.3,-0.2,-0.3,-300.0,-0.1,0.0,0.0
"2016.04",86.3,2.8,3.4,0.3,-0.1,-25.0,1.6,2.3,328.6,1.1,-0.6,-35.3,1.1,-0.6,-35.3,5.9,8.6,318.5,-1.0,-0.9,-900.0,1.8,-1.4,-43.8,-0.07,-0.10,-600.0,99.2,-1.3,-1.3,0.0,-0.1,-100.0,3.3,-1.3,-28.3,0.0,-0.1,-100.0,90.9,2.9,3.3,0.1,-0.1,-50.0,0.1,-0.3,-75.0,0.4,0.0,0.0,0.9,2.0,181.8,-0.1,-0.9,-112.5,0.2,-0.5,-71.4,-0.8,0.7,46.7,-0.1,,,99.2,-0.1,-0.1,-0.1,0.0,0.0,88.8,2.9,3.4,0.1,-0.1,-50.0,0.0,-1.4,-100.0,0.0,,,-0.3,0.0,0.0,-0.1,,,0.0,0.1,100.0
"2016.05",86.7,2.7,3.2,0.5,-0.1,-16.7,3.0,3.2,1600.0,0.9,1.2,400.0,3.0,4.2,350.0,-8.1,-27.4,-142.0,-1.2,-1.5,-500.0,1.1,-1.4,-56.0,-0.01,-0.10,-112.5,99.3,-1.3,-1.3,0.1,0.0,0.0,3.3,-1.5,-31.3,0.0,-0.2,-100.0,91.4,3.6,4.1,0.6,0.8,400.0,0.7,1.6,177.8,0.1,,,1.2,2.2,220.0,1.0,1.3,433.3,0.5,1.1,183.3,1.3,2.1,262.5,0.1,,,99.5,0.7,0.7,0.3,0.8,160.0,89.0,3.0,3.5,0.2,0.1,100.0,-0.5,-1.3,-162.5,0.0,,,1.3,3.0,176.5,0.0,0.1,100.0,0.0,0.1,100.0
"2016.06",86.9,2.7,3.2,0.2,0.0,0.0,2.2,3.6,257.1,0.2,3.4,106.3,0.6,0.4,200.0,-2.9,0.3,9.4,-0.9,-1.3,-325.0,0.0,-0.8,-100.0,0.00,-0.10,-100.0,99.3,-1.2,-1.2,0.0,0.1,100.0,3.2,-1.5,-31.9,-0.1,0.0,0.0,91.8,3.8,4.3,0.4,0.2,100.0,0.3,,,0.5,0.6,600.0,2.1,-0.2,-8.7,0.5,1.1,183.3,0.1,-0.6,-85.7,0.1,0.5,125.0,0.3,0.2,200.0,99.7,1.0,1.0,0.2,0.3,300.0,89.2,3.0,3.5,0.2,0.0,0.0,-0.9,-2.4,-160.0,0.0,,,1.9,2.3,575.0,0.2,,,0.0,0.1,100.0
"2016.07",87.3,2.9,3.4,0.5,0.3,150.0,2.4,3.6,300.0,-0.3,2.4,88.9,1.4,2.2,275.0,3.4,4.6,383.3,-0.3,-0.7,-175.0,0.1,0.9,112.5,-0.02,-0.20,-113.3,99.3,-1.0,-1.0,0.0,0.2,100.0,3.3,-1.3,-28.3,0.1,0.2,200.0,92.3,4.0,4.5,0.5,0.2,66.7,0.6,1.1,220.0,0.4,0.2,100.0,2.5,1.0,66.7,-0.1,0.4,80.0,0.4,0.3,300.0,0.1,-1.3,-92.9,0.3,0.1,50.0,99.9,1.3,1.3,0.2,0.3,300.0,89.4,2.9,3.4,0.2,-0.1,-33.3,-0.5,-1.5,-150.0,0.0,-0.1,-100.0,-1.9,-2.2,-733.3,0.2,0.1,100.0,-0.1,0.0,0.0
"2016.08",87.7,3.0,3.5,0.5,0.1,25.0,0.2,0.9,128.6,0.9,2.5,156.3,0.9,-2.4,-72.7,19.7,24.1,547.7,0.0,-0.9,-100.0,1.2,3.8,146.2,-0.01,0.00,-133.3,99.5,-0.8,-0.8,0.2,,,3.5,-1.1,-23.9,0.2,,,92.7,3.8,4.3,0.4,-0.3,-42.9,-0.7,-1.8,-163.6,0.4,-0.1,-20.0,2.4,0.9,60.0,-0.1,0.1,50.0,0.1,-1.9,-95.0,1.1,-0.5,-31.3,0.3,0.1,50.0,100.1,1.0,1.0,0.2,-0.3,-60.0,89.5,2.6,3.0,0.1,-0.4,-80.0,-0.9,-2.4,-160.0,-0.1,-0.2,-200.0,-0.1,-2.4,-104.3,0.3,0.2,200.0,-0.1,0.0,0.0
"2016.09",88.1,3.0,3.5,0.5,0.0,0.0,-0.1,-1.6,-106.7,1.0,-0.8,-44.4,1.2,0.5,71.4,2.9,-22.1,-88.4,0.4,-0.3,-42.9,1.1,3.1,155.0,-0.01,0.00,66.7,99.7,-0.7,-0.7,0.2,0.1,100.0,3.7,-1.1,-22.9,0.2,0.0,0.0,92.7,3.0,3.3,0.0,-0.9,-100.0,-0.4,-1.4,-140.0,0.3,-0.2,-40.0,1.2,-2.6,-68.4,-1.3,-2.7,-192.9,0.4,-0.9,-69.2,-0.2,-1.4,-116.7,0.1,-0.1,-50.0,99.9,0.2,0.2,-0.2,-0.8,-133.3,89.7,2.5,2.9,0.2,-0.1,-33.3,-0.4,-0.8,-200.0,-0.1,-0.2,-200.0,-0.3,-0.5,-250.0,0.1,-0.1,-50.0,0.0,,
"2016.10",88.5,3.1,3.6,0.5,0.1,25.0,-1.0,-3.0,-150.0,0.1,-0.5,-83.3,2.9,2.4,480.0,1.9,1.1,137.5,-0.1,,,0.5,1.1,183.3,0.05,0.10,155.6,99.9,-0.5,-0.5,0.2,,,3.9,-0.8,-17.0,0.2,0.3,300.0,92.8,2.4,2.7,0.1,-0.7,-87.5,-0.6,-1.6,-160.0,-0.2,-0.5,-166.7,1.9,0.7,58.3,0.8,-0.8,-50.0,-0.3,-1.1,-137.5,-0.8,-1.8,-180.0,0.1,-0.1,-50.0,99.8,-0.4,-0.4,-0.1,-0.6,-120.0,89.9,2.4,2.7,0.2,-0.1,-33.3,-0.8,-0.9,-900.0,0.0,,,2.7,0.7,35.0,0.1,0.0,0.0,0.0,,
"2016.11",88.9,3.3,3.9,0.5,0.3,150.0,1.6,1.3,433.3,-0.6,-0.5,-500.0,2.0,3.9,205.3,-11.1,-14.8,-400.0,0.3,0.4,400.0,-0.9,-1.8,-200.0,0.16,,,100.1,-0.1,-0.1,0.2,0.4,200.0,4.0,-0.6,-13.0,0.1,0.2,200.0,93.3,2.8,3.1,0.5,0.4,400.0,1.3,1.5,750.0,-0.4,,,2.2,,,0.0,-0.9,-100.0,1.4,1.9,380.0,1.6,2.0,500.0,0.0,-0.2,-100.0,100.1,0.1,0.1,0.3,0.5,250.0,90.1,2.5,2.9,0.2,0.1,100.0,-0.1,0.5,83.3,0.0,,,0.8,2.7,142.1,0.0,-0.1,-100.0,0.0,,
"2016.12",89.3,3.7,4.3,0.4,,,2.2,3.4,283.3,-1.3,-0.3,-30.0,2.5,4.6,219.0,-2.3,25.4,91.7,-0.2,-0.6,-150.0,-0.3,-0.8,-160.0,0.18,0.20,800.0,100.3,0.5,0.5,0.2,0.6,150.0,4.3,0.2,4.9,0.3,0.8,160.0,93.8,3.2,3.5,0.5,0.4,400.0,0.8,1.6,200.0,-0.1,-0.6,-120.0,1.1,1.6,320.0,1.4,0.6,75.0,0.8,1.1,366.7,-1.1,-0.3,-37.5,0.2,0.0,0.0,100.3,0.4,0.4,0.2,0.3,300.0,90.3,2.4,2.7,0.2,-0.1,-33.3,-1.1,-0.4,-57.1,-0.1,-0.2,-200.0,0.4,-1.5,-78.9,0.2,0.0,0.0,0.0,-0.1,-100.0
"2017.01",89.7,4.0,4.7,0.4,0.3,300.0,3.6,6.6,220.0,-0.1,1.1,91.7,1.4,5.1,137.8,-12.1,-13.6,-906.7,-0.3,-1.5,-125.0,0.4,2.5,119.0,0.13,0.10,1400.0,100.5,1.0,1.0,0.2,0.5,166.7,4.4,0.6,15.8,0.1,0.4,133.3,94.3,3.7,4.1,0.5,,,2.0,2.5,500.0,0.4,0.5,500.0,-0.8,-1.4,-233.3,-0.2,,,1.7,2.3,383.3,0.7,2.3,143.8,0.1,0.0,0.0,100.6,1.0,1.0,0.3,0.6,200.0,90.6,2.4,2.7,0.3,0.0,0.0,-0.8,-1.4,-233.3,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,,
"2017.02",90.2,4.5,5.3,0.6,,,1.6,3.4,188.9,0.6,2.0,142.9,0.4,3.4,113.3,16.2,14.4,800.0,-0.4,-1.1,-157.1,1.7,3.5,194.4,0.04,0.20,133.3,100.7,1.6,1.6,0.2,0.6,150.0,4.7,1.3,38.2,0.3,0.7,175.0,94.6,3.9,4.3,0.3,0.2,200.0,0.1,0.0,0.0,0.3,0.0,0.0,0.6,-1.6,-72.7,0.5,,,-1.1,-0.6,-120.0,1.8,2.2,550.0,0.2,,,100.7,1.2,1.2,0.1,0.2,200.0,90.8,2.3,2.6,0.2,-0.1,-33.3,-0.5,-1.7,-141.7,0.0,-0.1,-100.0,0.4,-0.2,-33.3,0.1,,,0.0,,
"2017.03",90.6,4.6,5.3,0.4,0.0,0.0,0.4,0.1,33.3,2.2,2.1,2100.0,0.8,-0.4,-33.3,-8.7,-21.0,-170.7,0.2,,,1.9,1.8,1800.0,0.01,0.10,110.0,100.9,1.7,1.7,0.2,0.1,100.0,4.8,1.5,45.5,0.1,0.2,200.0,95.0,4.2,4.6,0.4,0.3,300.0,1.0,0.3,42.9,0.2,0.3,300.0,1.6,1.2,300.0,-0.4,-0.5,-500.0,-0.4,-0.5,-500.0,1.8,2.6,325.0,0.1,0.3,150.0,100.8,1.5,1.5,0.1,0.3,150.0,91.1,2.4,2.7,0.3,0.1,50.0,0.6,-0.9,-60.0,0.0,-0.1,-100.0,1.8,3.4,212.5,0.1,0.3,150.0,0.0,0.1,100.0
