1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,상장일,kospi200(-20),nasdaq(-20),putcall(-20),VIXCLS,미국10년물국채금리수익률(-20),시장금리국고채3년,회사명,경기국면
0.089380356,0.064986022,0.0299257749999999,0.042214038,95570,2015-08-21,0.1363290175171363,-0.0414924357439812,0.0705882352941176,28.03,-0.0835543766578249,1.709,AJ네트웍스,0
0.055183304,0.027243862,0.010926939,0.014312477,211270,2016-03-04,-0.176909821941413,0.0438756465620617,0.194915254237288,16.86,-0.0043407487791644,1.522,AP위성통신,1
0.494997682,0.05474742,0.020483213,0.047154713,241520,2016-12-19,-0.212121212121212,0.0217326277163032,-0.1454545454545456,11.71,0.1231633535004321,1.694,DSC인베스트먼트,0
0.358087632,0.053057167,0.021487601,0.044339621,245620,2018-06-26,0.2383999999999999,0.0183084265500306,-0.01010101010101,15.92,0.0329749103942653,2.148,EDGC,0
0.207570222,0.075021577,0.079149214,0.022591547,900290,2016-10-25,0.0094637223974765,0.0007765439908766,-0.0992366412213741,13.46,0.1234096692111959,1.398,GRT,0
0.089290778,0.022640605,0.0306036439999999,0.032308621,195940,2021-08-09,0.0411160058737152,0.006958383194676,-0.3237410071942446,16.72,-0.0460526315789474,1.436,HK이노엔,1
0.287325552,0.02307893,0.030618344,0.056473153,403870,2022-07-15,-0.0957735556417215,0.0136983493070714,-0.2159999999999999,24.23,-0.0844939647168058,3.205,HPSP,0
0.248351833,0.049901232,0.039769272,0.012931435,234080,2016-10-27,0.0469116497263488,-0.0035830984432806,0.2470588235294117,15.36,0.1207759699624528,1.418,JW생명과학,0
0.306137007,0.041399312,0.021280508,0.020321983,309960,2023-03-29,-0.0928224500809499,0.0295795234500695,0.3296703296703296,19.12,-0.1056584877315974,3.249,LB인베스트먼트,0
0.304972446,0.035250135,0.012433704,0.026895818,373220,2022-01-27,0.5003021148036253,-0.1410673990308467,0.0495049504950495,30.49,0.2428666224286664,2.217,LG에너지솔루션,1
0.0342209,0.049723355,0.021523638,0.047390221,79550,2015-10-02,-0.1767857142857142,-0.0224822904563219,-0.065934065934066,20.94,-0.0417644298451431,1.584,LIG넥스원,1
0.181174383,0.034411989,0.075719925,0.146188953,419530,2022-12-06,-0.1005502751375686,0.063932949950028,-0.1157894736842105,22.17,-0.1505452821242294,3.633,SAMG엔터,0
0.061864715,0.044335685,0.030195778,0.016514327,255220,2018-01-26,-0.0325581395348837,0.0679921034455388,0.3289473684210526,11.08,0.0910602910602911,2.222,SG,0
0.739828415,0.035191576,0.009274535,0.041241993,302440,2021-03-18,-0.041047693510555,-0.0245330916489067,-0.0972222222222222,21.58,0.2690824980724748,1.133,SK바이오사이언스,0
0.223469714,0.022818041,0.01286981,0.0129916509999999,361610,2021-05-11,0.0483675937122127,-0.0424574899005764,-0.4758064516129032,21.84,-0.0098765432098765,1.128,SK아이이테크놀로지,1
0.063978004,0.026249571,0.048133356,0.064349499,289080,2018-07-06,0.4040485829959515,-0.0063705571209333,-0.1204819277108433,13.37,-0.0390094979647217,2.101,SV인베스트먼트,0
0.4263570039999999,0.015198947,0.090664695,0.159238956,399720,2022-05-20,0.2176505664877759,-0.1129961263160649,0.0408163265306122,29.43,-0.0234079173838208,3.011,가온칩스,0
0.270315366,0.063683648,0.042719141,0.0573822879999999,217730,2015-12-21,0.0817417876241406,-0.0356205085550512,-0.2258064516129032,18.7,-0.017387427552385,1.658,강스템바이오텍,1
0.573845121,0.034148089,0.052141279,0.016660372,214390,2015-06-29,-0.0481203007518797,-0.0004761840262498,0.2619047619047621,18.85,0.1333027943197435,1.793,경보제약,0
0.4707673129999999,0.1110439689999999,0.02746911,0.032289983,348150,2020-11-18,-0.0987202925045703,0.0361045355642017,-0.0091743119266055,23.84,0.0499390986601706,0.949,고바이오랩,0
0.002236068,0.001369306,0.005225132,0.002738613,307870,2018-12-12,-0.016895459345301,-0.0234749462650387,-0.2358490566037735,21.46,-0.0793092420850655,1.803,골든브릿지이안5호,0
0.091781055,0.071518753,0.158954311,0.076562001,900280,2016-10-19,-0.002865329512894,-0.0096956723523907,0.1260504201680674,14.41,0.0740740740740739,1.352,골든센츄리,0
0.147098528,0.068991065,0.1113754549999999,0.064613157,366030,2022-03-23,-0.1160151324085749,0.0821730301511791,0.3614457831325299,23.57,0.1916916916916915,2.426,공구우먼,1
0.70482675,0.01738554,0.017864014,0.024876535,339770,2020-11-12,-0.0367955286446203,0.0061943294220101,-0.284313725490196,25.35,0.3220568335588634,0.969,교촌에프앤비,0
0.261263032,0.023295343,0.047688175,0.088601479,282720,2023-03-13,0.0017113519680547,-0.0494303235465573,-0.0733944954128441,26.52,0.0,3.435,금양그린파워,0
0.05424028,0.012299309,0.023251516,0.024475804,214330,2015-11-11,-0.0685263796240145,0.0628056766541671,-0.2296296296296296,16.06,0.1827848101265821,1.798,금호에이치티,1
0.380329026,0.024802984,0.089614497,0.031069084,420770,2023-05-24,-0.0201884253028262,0.0595477958627725,-0.0941176470588235,20.03,0.0734397677793905,3.378,기가비스,0
0.295842614,0.025248406,0.024265881,0.028007642,308100,2019-06-10,-0.1478683216405829,-0.0220842705696898,-0.3893129770992366,15.94,-0.1327507282563462,1.533,까스텔바쟉,0
0.700899403,0.103044786,0.134770676,0.112355966,407400,2023-02-09,-0.0395170142700328,0.0895425508060994,0.2608695652173913,20.71,0.0496515679442508,3.401,꿈비,0
0.043501816,0.078059548,0.047689234,0.022465752,286750,2019-08-19,0.3012967200610221,-0.0375602351090145,0.4567901234567899,16.88,-0.2380487804878047,1.093,나노브릭,0
0.106335798,0.03245047,0.020762153,0.026478897,247660,2021-03-09,-0.0804741110417966,-0.0985498287655333,0.0155038759689922,24.03,0.3818965517241379,1.206,나노씨엠에스,0
0.602509249,0.099865444,0.03282921,0.125282872,417010,2023-03-03,0.0720140515222482,-0.0604746094813041,-0.043956043956044,18.49,0.1543052003410059,3.791,나노팀,0
0.158394296,0.064318986,0.035783334,0.035325161,405920,2023-06-02,-0.0490390987408879,0.0948138154405964,-0.1351351351351352,14.6,0.0268035357855715,3.436,나라셀라,0
0.1118418839999999,0.028334555,0.039693413,0.018424657,137080,2022-02-08,0.2323059360730595,-0.0620471591661395,-0.0582524271844661,21.44,0.0990836197021765,2.303,나래나노텍,1
0.058412944,0.059118085,0.044009465,0.083910178,190510,2015-11-12,-0.0778894472361809,0.0404344711456277,0.1808510638297873,18.37,0.1545319465081722,1.787,나무가,1
0.4383118489999999,0.164434555,0.080896063,0.056698563,111710,2018-11-29,-0.1096446700507614,-0.001958698967277,0.0499999999999998,18.79,-0.0232929164007658,1.889,남화산업,0
0.069592191,0.010554051,0.016881143,0.018288603,212560,2015-11-18,0.0402498265093684,0.0301438598239849,-0.0982142857142858,16.85,0.1183431952662721,1.752,네오오토,1
0.064525499,0.022353792,0.029264005,0.02880703,311390,2019-08-22,0.1039999999999998,-0.0265010641557609,-0.1111111111111111,16.68,-0.2361977916466635,1.13,네오크레마,0
0.125856374,0.093732721,0.048416547,0.043744794,290660,2018-11-28,-0.1478770131771595,-0.0110239551092008,-0.12,18.49,-0.0285805017465862,1.92,네오펙트,0
0.199775191,0.034492869,0.0264795769999999,0.037462955,330860,2020-11-17,-0.0757439134355274,0.0353961701995593,-0.0574712643678161,22.71,0.159033078880407,0.96,네패스아크,0
0.085333434,0.035792695,0.022059873,0.018204807,396270,2022-07-01,0.3579545454545452,-0.1045847668972367,-0.3307086614173229,26.7,0.0258415504930296,3.439,넥스트칩,0
0.066421631,0.033027216,0.01651687,0.028125469,348210,2020-10-08,-0.1663442940038685,0.040753340738316,-0.2826086956521738,26.36,0.1495601173020526,0.907,넥스틴,0
0.044378339,0.023265275,0.019212314,0.035755909,251270,2017-05-12,-0.0033852403520648,0.0535404018539236,-0.3149606299212598,10.4,0.0645017793594304,1.71,넷마블게임즈,1
0.337547663,0.056104884,0.029664575,0.020351364,104620,2019-01-30,-0.2310030395136777,0.0592303967024046,-0.097560975609756,17.66,0.0292442081276109,1.827,노랑풍선,0
0.040360042,0.062024269,0.0066245749999999,0.009294515,194700,2018-11-14,0.1579601990049752,-0.0578107300867287,0.1473684210526318,21.25,-0.020579981290926,1.922,노바렉스,0
0.350029674,0.0525268789999999,0.048797869,0.054503147,285490,2018-11-02,0.5235885537509668,-0.0455020097492618,-0.2523364485981308,19.51,-0.0306217135787195,1.982,노바텍,0
0.038908701,0.017334994,0.022871554,0.017734373,376930,2022-03-03,0.0383813099707968,-0.0461611218586613,0.1339285714285714,30.48,0.0228758169934639,2.195,노을,1
0.440494249,0.06726039,0.047407774,0.015971287,278650,2019-11-27,0.0259927797833936,0.0414198010272746,-0.009009009009009,11.75,-0.0191549295774646,1.456,노터스,1
0.723525322,0.037765633,0.04345569,0.020764465,144510,2016-06-23,0.4030226700251889,-0.0125784871121281,-0.2596153846153846,17.25,-0.0781420765027322,1.337,녹십자랩셀,1
0.06924565,0.021429722,0.00799925,0.024771698,234690,2019-10-14,0.1049888309754281,-0.0118353499875737,0.1717171717171717,14.57,-0.059142702116115,1.281,녹십자웰빙,1
0.121802557,0.018043475,0.028725389,0.034761545,348340,2022-11-04,-0.0924261874197689,-0.0290507256195373,-0.1584158415841584,24.55,0.0671296296296297,4.118,뉴로메카,0
0.064380176,0.029817411,0.025525419,0.035783907,270870,2018-12-13,-0.0584061135371178,-0.0142427313539447,-0.0104166666666666,20.65,-0.0639871382636655,1.795,뉴트리,0
0.177701849,0.033023885,0.068453539,0.06397716,222040,2015-12-16,0.1750167000668001,0.0018732062272943,0.3333333333333335,17.86,-0.0021997360316763,1.748,뉴트리바이오텍,1
0.10908851,0.040708537,0.018350123,0.055265242,144960,2016-11-30,-0.2486956521739129,0.0439189534884161,-0.2265625,13.33,0.2550629447181172,1.71,뉴파워프라즈마,0
0.086741674,0.023980471,0.015938224,0.038351701,4440,2016-03-30,-0.1966035271064663,0.0334826032628505,-0.5,13.56,-0.0125889436234263,1.45,대림씨엔에스,1
0.150557122,0.0593207129999999,0.032574637,0.067287086,389260,2022-05-16,0.108047270680923,-0.1145603862547489,-0.2090909090909091,27.47,0.0248512425621281,3.046,대명에너지,0
0.573614003,0.184206886,0.040572503,0.034563391,317850,2019-07-24,-0.0633451957295374,0.0465051600804984,-0.098901098901099,12.07,0.0136585365853658,1.321,대모,0
0.36606861,0.0512614079999999,0.058430557,0.062834767,290670,2018-11-06,0.4082798001427552,-0.0528778577520127,0.0989010989010987,19.91,-0.0015595757953835,1.984,대보마그네틱,0
0.280746517,0.063800094,0.025211565,0.142161925,129920,2022-08-22,-0.2019279553526128,0.0782971780423678,-0.0297029702970297,23.8,0.0602066262914142,3.245,대성하이텍,0
0.044141307,0.010863149,0.025962666,0.020595339,7680,2017-12-01,0.0084033613445377,0.0236830522424889,0.1216216216216214,11.43,0.0355917667238423,2.081,대원,1
0.2082912579999999,0.031474164,0.091911653,0.083544401,290380,2018-08-10,-0.1240428790199081,0.0084078677496897,0.1927710843373493,13.16,0.035348179568752,2.04,대유,0
0.284337537,0.038226195,0.012194876,0.037260341,290120,2018-12-07,0.2007599746675112,-0.0505221060495988,-0.2782608695652173,23.23,-0.0922787193973634,1.834,대유에이피,0
0.072866707,0.021387683,0.028822786,0.009929904,71460,2016-07-14,-0.1737385321100918,0.035326219506345,-0.1081081081081082,12.82,-0.0671310956301456,1.205,대유위니아,1
0.0551648709999999,0.048442388,0.041724789,0.059497538,298540,2020-07-27,-0.3299583085169744,0.0621037526999488,-0.0341880341880341,24.74,-0.0828125,0.803,더네이쳐홀딩스,0
0.075296899,0.035276579,0.043802568,0.021508068,192080,2015-11-04,-0.2075029308323563,0.0738820507986171,0.0,15.51,0.07409200968523,1.677,더블유게임즈,1
0.159093347,0.059534528,0.045901558,0.047973149,393890,2022-09-30,0.4997111496244946,-0.0888933874810624,-0.0312499999999998,31.62,0.1837245696400626,4.186,더블유씨피,0
0.122162813,0.038451944,0.042053977,0.0523254429999999,317330,2019-08-02,0.1565349544072949,-0.0062081873746436,0.0,17.61,-0.0671897989210398,1.26,덕산테코피아,0
0.014132127,0.016151532,0.036245234,0.021329862,263600,2017-08-28,-0.0580046403712296,-0.0129928197554793,-0.2280701754385964,11.32,-0.0553135888501741,1.758,덕우전자,1
0.337562562,0.035736424,0.03051144,0.012904534,263800,2017-08-03,-0.121632024634334,0.0448627535378673,0.0786516853932584,10.44,-0.0409628378378378,1.737,데이타솔루션,1
0.483062022,0.08276489,0.030805811,0.088045233,206560,2015-12-22,0.2124105011933175,-0.0261755183959546,0.0,16.6,-0.01965163019205,1.672,덱스터,1
0.041690083,0.015514767,0.010210436,0.015716615,145720,2017-03-15,0.0611270296084047,0.0128403118781244,-0.2989690721649484,11.63,0.0420504605526632,1.759,덴티움,1
0.729418218,0.09854329,0.0574419269999999,0.022768465,6620,2018-02-13,0.8348856900931414,-0.0334635044457198,0.3452380952380951,24.97,0.1260338716029931,2.278,동구바이오제약,0
0.063094556,0.018862343,0.018076725,0.048075077,228340,2016-04-06,-0.0287921348314607,0.0419698673943098,-0.0458715596330275,14.09,-0.0606226105953031,1.458,동양파일,1
0.064859564,0.026937836,0.014540736,0.013519726,92780,2017-12-08,0.2295229522952295,0.0093021593735347,-0.2695652173913043,9.58,-0.0166527893422148,2.094,동양피스톤,1
0.140227023,0.06952027,0.06139228,0.03911308,94170,2015-06-30,0.0979073243647232,-0.0232540804002188,0.2872340425531916,18.23,0.027360988526037,1.793,동운아나텍,0
0.036857794,0.01561099,0.007882068,0.006337744,2690,2015-09-24,-0.0304968027545498,0.0117508727660609,-0.1962616822429906,23.47,-0.018256503879507,1.63,동일제강,0
0.099813115,0.022105271,0.024121609,0.021117339,241560,2016-11-18,0.0682852807283762,0.0145642929817579,-0.0091743119266055,12.85,0.3080865603644647,1.736,두산밥캣,0
0.072305809,0.035525723,0.014316599,0.011789826,16740,2016-07-29,-0.0178156467854376,0.064491295841371,0.3750000000000002,11.87,0.0357142857142858,1.216,두올,1
0.482257198,0.054691087,0.018681408,0.146158315,223250,2020-05-22,-0.3547768957021626,0.0753209659447431,-0.3987341772151899,28.16,0.1239669421487603,0.837,드림씨아이에스,0
0.0933602,0.032425715,0.008662967,0.016690476,192650,2019-03-14,-0.062143310082435,0.0300564495295039,0.2962962962962963,13.5,-0.0112994350282484,1.793,드림텍,0
0.062894141,0.046918994,0.048679493,0.038179733,187870,2017-12-20,0.024411508282476,0.0147716448683288,0.010752688172043,9.72,0.0571797076526225,2.087,디바이스이엔지,1
0.069588842,0.024264851,0.030555081,0.011257309,110990,2018-08-07,-0.1007919366450684,0.0129497857948621,0.2197802197802199,10.93,0.0272061388210673,2.082,디아이티,0
0.043840814,0.139201034,0.155879899,0.048650663,263690,2018-11-22,-0.0855899419729206,-0.0280766530958951,-0.1935483870967742,,-0.0195137555982085,1.942,디알젬,0
0.184311565,0.026241132,0.022444665,0.017166159,263720,2017-08-01,-0.0883820384889523,0.038961983402916,-0.04,10.09,-0.0162810625535562,1.733,디앤씨미디어,1
0.670681178,0.0589218379999999,0.047582476,0.0519046429999999,376300,2021-11-10,-0.1236611489776046,0.090236954958325,-0.0275229357798165,18.73,-0.0667963683527885,1.877,디어유,1
0.2386076209999999,0.052968746,0.039879845,0.069108733,227100,2018-11-15,0.1548780487804879,-0.0465923140555764,0.06,19.98,-0.0157381177211206,1.943,디자인,0
0.050631235,0.01602083,0.032298344,0.039223424,263020,2018-11-20,-0.0693277310924369,-0.0549993756598736,0.03,22.48,-0.0340586565752127,1.94,디케이앤디,0
0.225292366,0.111437292,0.048204792,0.035525808,290550,2018-12-21,0.0048701298701299,-0.0636580506651367,0.0888888888888888,30.11,-0.0781352593565332,1.838,디케이티,0
0.084638602,0.018746066,0.026669121,0.018848554,383930,2022-11-11,-0.1140350877192982,0.0768075587871552,-0.0319148936170211,22.52,0.0377215189873418,3.834,디티앤씨알오,0
0.116252247,0.10077655,0.038504675,0.026555357,315640,2021-08-17,0.0131147540983607,0.0203381147506478,-0.0764331210191083,17.91,0.0376432078559738,1.402,딥노이드,1
0.166957923,0.103040201,0.046397284,0.048869551,317120,2019-09-18,-0.1084704448507007,0.0298745885024502,-0.1666666666666666,13.95,0.1376492771841608,1.309,라닉스,0
0.078498885,0.086616136,0.019559652,0.048966243,300120,2019-10-18,-0.0962059620596206,0.0048265297996004,-0.0294117647058823,14.25,0.0162601626016261,1.375,라온피플,1
0.201748705,0.038573657,0.023707024,0.019080697,347700,2021-03-23,-0.1425470332850941,-0.006510126472573,0.0873786407766992,20.3,0.2620997766195085,1.132,라이프시맨틱스,0
0.049900852,0.0285533359999999,0.038082568,0.063396514,214260,2019-11-11,-0.0356643356643358,0.0530100915241085,-0.1578947368421052,12.69,0.1341107871720117,1.5,라파스,1
0.230206559,0.142828411,0.068683601,0.080376259,294140,2020-02-28,0.3913945049248315,-0.0787670456025264,0.1801801801801801,40.11,-0.1534883720930231,1.104,레몬,1
0.136639405,0.029572994,0.041498771,0.040507999,228670,2019-08-08,0.3782234957020056,-0.0406549942837534,0.2736842105263157,16.91,-0.1969202053196452,1.165,레이,0
0.040419711,0.018508701,0.019836658,0.040527707,228850,2016-04-11,-0.0597122302158273,0.0215268753804036,-0.0566037735849057,16.26,-0.1328282828282827,1.466,레이언스,1
0.0537777559999999,0.094342286,0.033796198,0.037062609,412350,2022-06-24,0.3031674208144796,-0.0177135466600804,0.1894736842105262,27.23,0.1261392635800218,3.523,레이저쎌,0
0.707546608,0.06335369,0.0282826799999999,0.03570675,277810,2021-02-03,0.2101449275362317,0.0619254849784198,-0.3306451612903226,22.91,0.053897978825794,0.978,레인보우로보틱스,0
0.091492404,0.059549878,0.026639294,0.050405039,238120,2016-11-03,0.2472885032537961,-0.0379283887303307,0.292929292929293,22.08,0.0452698781195588,1.428,로고스바이오,0
0.189007526,0.049850958,0.044879873,0.017643072,108490,2018-10-26,0.8647430117222723,-0.090477079057038,0.0941176470588236,24.16,0.0199021207177814,1.968,로보티즈,0
0.033996367,0.023159555,0.033828982,0.028229152,900260,2016-06-30,0.25706940874036,-0.0386433226651292,0.0,15.63,-0.1567537520844913,1.247,로스웰,1
0.517254718,0.03006172,0.057986611,0.166022718,67730,2015-07-29,0.0360294117647059,0.020521858669886,-0.1351351351351352,12.5,-0.0729295426452411,1.716,로지시스,0
0.04923253,0.009004055,0.018604919,0.014497689,89860,2021-08-19,-0.0397022332506203,-0.0108065222986187,-0.1119999999999998,21.67,-0.0133124510571651,1.36,롯데렌탈,1
0.02545718,0.014296258,0.017246246,0.041446327,286940,2018-07-27,-0.1789276807980049,0.0464438771157669,0.2151898734177213,13.03,0.0426573426573426,2.112,롯데정보통신,0
0.159049756,0.084901578,0.01817545,0.01824837,328130,2022-07-21,-0.2164351851851853,0.0764104038449406,-0.0973451327433627,23.11,-0.0191000323729362,3.294,루닛,0
0.148695437,0.028583474,0.035613789,0.084746723,377450,2021-10-29,-0.0436485730274203,0.0605092375113642,-0.3432835820895522,16.26,0.0771331058020476,2.103,리파인,1
0.739025006,0.060115655,0.035139052,0.035356923,277070,2018-03-14,-0.3657817109144542,0.0709345273087627,-0.2644628099173554,17.23,-0.0236869207003089,2.274,린드먼아시아,0
0.71873864,0.068762548,0.025316437,0.014493792,439090,2023-06-08,-0.0472550382209867,0.0648814712507226,0.0561797752808987,13.65,0.095293098469535,3.543,마녀공장,0
0.341673294,0.056618301,0.025483132,0.128093571,195500,2019-08-20,0.2004389173372347,-0.0301270475631858,0.4814814814814814,17.5,-0.2261790182868142,1.101,마니커에프앤지,0
0.336896613,0.038285271,0.033558799,0.062368486,305090,2019-06-05,0.0991787744788375,-0.0548283299958675,0.1666666666666667,16.09,-0.1464788732394365,1.542,마이크로디지탈,0
0.156986805,0.04032162,0.020255863,0.074106592,424980,2023-04-26,-0.0699690402476779,0.0070911155925024,-0.1293103448275862,18.84,-0.0465507571508693,3.259,마이크로투나노,0
0.124062492,0.048545103,0.026454433,0.06510705,147760,2016-12-12,-0.2927120669056152,0.0396001119191362,-0.3288590604026845,12.64,0.0940550133096718,1.734,마이크로프랜드,0
0.149559453,0.0531912399999999,0.014154964,0.034439614,377480,2021-11-23,0.0037243947858474,0.0406315036368287,-0.1165048543689319,19.38,0.0136645962732917,2.031,마인즈랩,1
0.652208481,0.043593497,0.0264373409999999,0.024085265,169330,2020-07-01,0.2070707070707071,0.0388167781105968,0.6307692307692307,28.62,-0.1179624664879356,0.847,마크로밀엠브레인,0
0.676637475,0.138286756,0.057684634,0.049096975,377030,2021-07-27,0.1053719008264464,0.0234612576255064,0.1559633027522935,19.36,-0.1220338983050848,1.38,맥스트,1
0.152847417,0.143405132,0.040250255,0.0521046349999999,100590,2018-12-14,-0.1256198347107437,-0.009256789122816,0.0439560439560438,21.63,-0.0495921696574225,1.781,머큐리,0
0.118522719,0.040266574,0.04118728,0.049327041,133750,2015-12-18,0.0717488789237668,-0.0140117016807632,-0.2424242424242424,20.7,-0.0172261484098938,1.693,메가엠디,1
0.071451998,0.074344031,0.043404228,0.031523436,235980,2019-12-19,-0.1039944903581266,0.0353018975711949,-0.0312499999999998,12.5,0.082207207207207,1.383,메드팩토,1
0.082022296,0.037667599,0.026636873,0.034302084,241770,2017-12-06,-0.0181543116490167,-0.0008229913495362,0.013157894736842,11.02,0.0081405312767781,2.084,메카로,1
0.739404383,0.061404373,0.033639753,0.028753817,327260,2019-12-24,-0.0168895144264602,0.0362769198397678,-0.1090909090909091,12.67,0.1074095347501435,1.37,메탈라이프,1
0.211247966,0.036942022,0.121141929,0.173648884,58110,2015-12-14,-0.0822898032200357,0.0011344294431259,-0.0503597122302157,22.73,-0.0612065169528841,1.732,멕아이씨에스,1
0.234599663,0.033293498,0.058482031,0.060281357,257370,2018-09-13,-0.1613128491620111,0.0231678775946684,0.1630434782608696,12.37,0.0327526132404181,1.921,명성티엔에스,0
0.71422682,0.153646357,0.16172975,0.060059121,9900,2020-12-07,-0.0264133456904539,0.0478342980823129,-0.0298507462686566,21.3,0.0530303030303029,0.961,명신산업,0
0.209984714,0.024684509,0.032221685,0.033054848,434480,2023-05-19,-0.0888290713324361,0.0510566930689273,-0.1717171717171717,16.81,0.0232623318385649,3.34,모니터랩,0
0.112091026,0.036372352,0.036228552,0.031730663,417970,2022-10-07,0.2639264467279612,-0.0857805023863168,-0.0380952380952381,31.36,0.1547511312217193,4.276,모델솔루션,0
0.303569243,0.062066964,0.125137936,0.042149057,87260,2017-02-24,-0.1922442244224422,0.0318875056564997,0.0425531914893617,11.47,-0.0446500402252615,1.666,모바일어플라이언스,1
0.744683699,0.085901211,0.029969117,0.023848228,348030,2021-01-28,0.3596856218215443,0.0327138283825247,0.0999999999999998,30.21,0.0939524838012957,0.977,모비릭스,0
0.090594012,0.021386281,0.006067125,0.017489625,288980,2022-03-10,0.3746438746438747,-0.0852166164503513,-0.1652892561983471,30.23,-0.0450318159569261,2.267,모아데이타,1
0.062358135,0.042332175,0.010685177,0.020903708,118990,2017-08-04,0.0393215111796452,0.0304335004985116,0.2808988764044942,10.03,-0.069991617770327,1.742,모트렉스,1
0.694383797,0.025824833,0.036600137,0.017395775,254490,2023-01-27,-0.0327677004095962,0.1271989840902188,-0.0505050505050505,18.51,-0.0961588038154164,3.304,미래반도체,0
0.068351116,0.028642137,0.039324509,0.027757972,213090,2015-12-01,0.0628698224852071,-0.0036043378525567,0.3626373626373627,14.67,-0.0045085662759241,1.772,미래테크놀로지,1
